Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Time,Payment,Rating
640-49-2076,B,Mandalay,Normal,Male,Sports and travel,83.78,8,14:49,Cash,5.1
595-11-5460,A,Yangon,Normal,Male,Health and beauty,96.58,2,10:12,Credit card,5.1
183-56-6882,C,Naypyitaw,Member,Female,Food and beverages,99.42,4,10:42,Ewallet,7.5
232-16-2483,C,Naypyitaw,Member,Female,Sports and travel,68.12,1,12:28,Ewallet,6.8
129-29-8530,A,Yangon,Member,Male,Sports and travel,62.62,5,19:15,Ewallet,7
272-65-1806,A,Yangon,Normal,Female,Electronic accessories,60.88,9,17:17,Ewallet,4.7
333-73-7901,C,Naypyitaw,Normal,Female,Health and beauty,54.92,8,13:24,Ewallet,7.6
777-82-7220,B,Mandalay,Member,Male,Home and lifestyle,30.12,8,13:01,Cash,7.7
280-35-5823,B,Mandalay,Member,Female,Home and lifestyle,86.72,1,18:45,Ewallet,7.9
554-53-8700,C,Naypyitaw,Member,Male,Home and lifestyle,56.11,2,10:11,Cash,6.3
354-25-5821,B,Mandalay,Member,Female,Sports and travel,69.12,6,13:03,Cash,5.6
228-96-1411,C,Naypyitaw,Member,Female,Food and beverages,98.7,8,20:39,Cash,7.6
617-15-4209,C,Naypyitaw,Member,Male,Health and beauty,15.37,2,19:47,Cash,7.2
132-32-9879,B,Mandalay,Member,Female,Electronic accessories,93.96,4,18:00,Cash,9.5
370-41-7321,B,Mandalay,Member,Male,Health and beauty,56.69,9,17:24,Credit card,8.4
727-46-3608,B,Mandalay,Member,Female,Food and beverages,20.01,9,15:47,Ewallet,4.1
669-54-1719,B,Mandalay,Member,Male,Electronic accessories,18.93,6,12:45,Credit card,8.1
574-22-5561,C,Naypyitaw,Member,Female,Fashion accessories,82.63,10,17:08,Ewallet,7.9
326-78-5178,C,Naypyitaw,Member,Male,Food and beverages,91.4,7,10:19,Cash,9.5
162-48-8011,A,Yangon,Member,Female,Food and beverages,44.59,5,15:10,Cash,8.5
616-24-2851,B,Mandalay,Member,Female,Fashion accessories,17.87,4,14:42,Ewallet,6.5
778-71-5554,C,Naypyitaw,Member,Male,Fashion accessories,15.43,1,15:46,Credit card,6.1
242-55-6721,B,Mandalay,Normal,Male,Home and lifestyle,16.16,2,11:49,Ewallet,6.5
399-46-5918,C,Naypyitaw,Normal,Female,Electronic accessories,85.98,8,19:01,Cash,8.2
106-35-6779,A,Yangon,Member,Male,Home and lifestyle,44.34,2,11:26,Cash,5.8
635-40-6220,A,Yangon,Normal,Male,Health and beauty,89.6,8,11:28,Ewallet,6.6
817-48-8732,A,Yangon,Member,Female,Home and lifestyle,72.35,10,15:55,Cash,5.4
120-06-4233,C,Naypyitaw,Normal,Male,Electronic accessories,30.61,6,20:36,Cash,9.3
285-68-5083,C,Naypyitaw,Member,Female,Sports and travel,24.74,3,17:47,Credit card,10
803-83-5989,C,Naypyitaw,Normal,Male,Home and lifestyle,55.73,6,10:55,Ewallet,7
347-34-2234,B,Mandalay,Member,Female,Sports and travel,55.07,9,13:40,Ewallet,10
199-75-8169,A,Yangon,Member,Male,Sports and travel,15.81,10,12:27,Credit card,8.6
853-23-2453,B,Mandalay,Member,Male,Health and beauty,75.74,4,14:35,Cash,7.6
877-22-3308,A,Yangon,Member,Male,Health and beauty,15.87,10,16:40,Cash,5.8
838-78-4295,C,Naypyitaw,Normal,Female,Health and beauty,33.47,2,15:43,Ewallet,6.7
109-28-2512,B,Mandalay,Member,Female,Fashion accessories,97.61,6,15:01,Ewallet,9.9
232-11-3025,A,Yangon,Normal,Male,Sports and travel,78.77,10,10:04,Cash,6.4
382-03-4532,A,Yangon,Member,Female,Health and beauty,18.33,1,18:50,Cash,4.3
393-65-2792,C,Naypyitaw,Normal,Male,Food and beverages,89.48,10,12:46,Credit card,9.6
796-12-2025,C,Naypyitaw,Normal,Male,Fashion accessories,62.12,10,16:19,Cash,5.9
510-95-6347,B,Mandalay,Member,Female,Food and beverages,48.52,3,18:17,Ewallet,4
841-35-6630,C,Naypyitaw,Normal,Female,Electronic accessories,75.91,6,18:21,Cash,8.7
287-21-9091,A,Yangon,Normal,Male,Home and lifestyle,74.67,9,10:55,Ewallet,9.4
732-94-0499,C,Naypyitaw,Normal,Female,Electronic accessories,41.65,10,17:04,Credit card,5.4
263-10-3913,C,Naypyitaw,Member,Male,Fashion accessories,49.04,9,14:20,Credit card,8.6
381-20-0914,A,Yangon,Member,Female,Fashion accessories,20.01,9,15:48,Credit card,5.7
829-49-1914,C,Naypyitaw,Member,Female,Food and beverages,78.31,10,16:24,Ewallet,6.6
756-01-7507,C,Naypyitaw,Normal,Female,Health and beauty,20.38,5,18:56,Cash,6
870-72-4431,C,Naypyitaw,Normal,Female,Health and beauty,99.19,6,14:42,Credit card,5.5
847-38-7188,B,Mandalay,Normal,Female,Food and beverages,96.68,3,19:56,Ewallet,6.4
480-63-2856,C,Naypyitaw,Normal,Male,Food and beverages,19.25,8,18:37,Ewallet,6.6
787-56-0757,C,Naypyitaw,Member,Female,Food and beverages,80.36,4,18:45,Credit card,8.3
360-39-5055,C,Naypyitaw,Member,Male,Sports and travel,48.91,5,10:17,Cash,6.6
730-50-9884,C,Naypyitaw,Normal,Female,Sports and travel,83.06,7,14:31,Ewallet,4
362-58-8315,C,Naypyitaw,Normal,Male,Fashion accessories,76.52,5,10:23,Cash,9.9
633-44-8566,A,Yangon,Member,Male,Food and beverages,49.38,7,20:35,Credit card,7.3
504-35-8843,A,Yangon,Normal,Male,Sports and travel,42.47,1,16:57,Cash,5.7
318-68-5053,B,Mandalay,Normal,Female,Health and beauty,76.99,6,17:55,Cash,6.1
565-80-5980,C,Naypyitaw,Member,Female,Home and lifestyle,47.38,4,10:25,Cash,7.1
225-32-0908,C,Naypyitaw,Normal,Female,Sports and travel,44.86,10,19:54,Ewallet,8.2
873-51-0671,A,Yangon,Member,Female,Sports and travel,21.98,7,16:42,Ewallet,5.1
152-08-9985,B,Mandalay,Member,Male,Health and beauty,64.36,9,12:09,Credit card,8.6
512-91-0811,C,Naypyitaw,Normal,Male,Health and beauty,89.75,1,20:05,Credit card,6.6
594-34-4444,A,Yangon,Normal,Male,Electronic accessories,97.16,1,20:38,Ewallet,7.2
766-85-7061,B,Mandalay,Normal,Male,Health and beauty,87.87,10,10:25,Ewallet,5.1
871-39-9221,C,Naypyitaw,Normal,Female,Electronic accessories,12.45,6,13:11,Cash,4.1
865-92-6136,A,Yangon,Normal,Male,Food and beverages,52.75,3,10:16,Ewallet,9.3
733-01-9107,B,Mandalay,Normal,Male,Home and lifestyle,82.7,6,18:14,Cash,7.4
163-56-7055,C,Naypyitaw,Member,Male,Fashion accessories,48.71,1,19:20,Cash,4.1
189-98-2939,C,Naypyitaw,Normal,Male,Fashion accessories,78.55,9,13:22,Cash,7.2
551-21-3069,C,Naypyitaw,Normal,Female,Electronic accessories,23.07,9,11:27,Cash,4.9
212-62-1842,A,Yangon,Normal,Male,Food and beverages,58.26,6,16:44,Cash,9.9
716-39-1409,B,Mandalay,Normal,Male,Health and beauty,30.35,7,18:19,Cash,8
704-48-3927,A,Yangon,Member,Male,Electronic accessories,88.67,10,14:50,Ewallet,7.3
628-34-3388,C,Naypyitaw,Normal,Male,Fashion accessories,27.38,6,20:54,Credit card,7.9
630-74-5166,A,Yangon,Normal,Male,Sports and travel,62.13,6,20:19,Cash,7.4
588-01-7461,C,Naypyitaw,Normal,Female,Food and beverages,33.98,9,10:43,Cash,4.2
861-77-0145,C,Naypyitaw,Member,Male,Electronic accessories,81.97,10,14:30,Cash,9.2
479-26-8945,B,Mandalay,Member,Female,Sports and travel,16.49,2,11:32,Ewallet,4.6
210-67-5886,C,Naypyitaw,Member,Female,Health and beauty,98.21,3,10:41,Credit card,7.8
227-78-1148,B,Mandalay,Normal,Female,Fashion accessories,72.84,7,12:44,Cash,8.4
645-44-1170,A,Yangon,Member,Male,Home and lifestyle,58.07,9,20:07,Ewallet,4.3
237-01-6122,C,Naypyitaw,Member,Female,Home and lifestyle,80.79,9,20:31,Credit card,9.5
225-98-1496,C,Naypyitaw,Normal,Female,Fashion accessories,27.02,3,13:01,Credit card,7.1
291-32-1427,B,Mandalay,Member,Male,Fashion accessories,21.94,5,12:29,Ewallet,5.3
659-65-8956,B,Mandalay,Member,Male,Fashion accessories,51.36,1,15:26,Ewallet,5.2
642-32-2990,A,Yangon,Normal,Female,Food and beverages,10.96,10,20:48,Ewallet,6
378-24-2715,B,Mandalay,Normal,Male,Home and lifestyle,53.44,2,20:38,Ewallet,4.1
638-60-7125,A,Yangon,Normal,Female,Electronic accessories,99.56,8,17:03,Credit card,5.2
659-36-1684,C,Naypyitaw,Member,Male,Sports and travel,57.12,7,12:02,Credit card,6.5
219-22-9386,B,Mandalay,Member,Male,Sports and travel,99.96,9,17:26,Credit card,4.2
336-78-2147,C,Naypyitaw,Member,Male,Home and lifestyle,63.91,8,19:52,Credit card,4.6
268-27-6179,B,Mandalay,Member,Female,Fashion accessories,56.47,8,14:57,Ewallet,7.3
668-90-8900,A,Yangon,Normal,Female,Home and lifestyle,93.69,7,18:44,Credit card,4.5
870-54-3162,A,Yangon,Normal,Female,Sports and travel,32.25,5,13:26,Cash,9
189-08-9157,C,Naypyitaw,Normal,Female,Fashion accessories,31.73,9,16:17,Credit card,5.9
663-86-9076,C,Naypyitaw,Member,Female,Food and beverages,68.54,8,15:57,Ewallet,8.5
549-84-7482,B,Mandalay,Normal,Female,Sports and travel,90.28,9,11:15,Ewallet,7.2
191-10-6171,B,Mandalay,Normal,Female,Fashion accessories,39.62,7,13:18,Cash,7.5
802-70-5316,A,Yangon,Member,Female,Sports and travel,92.13,6,20:34,Cash,8.3
695-51-0018,B,Mandalay,Normal,Female,Sports and travel,34.84,4,18:36,Cash,7.4
590-83-4591,B,Mandalay,Member,Male,Electronic accessories,87.45,6,14:40,Credit card,8.8
483-71-1164,C,Naypyitaw,Normal,Female,Health and beauty,81.3,6,16:43,Ewallet,5.3
597-78-7908,C,Naypyitaw,Normal,Male,Fashion accessories,90.22,3,19:39,Cash,6.2
700-81-1757,A,Yangon,Normal,Female,Electronic accessories,26.31,5,20:59,Credit card,8.8
354-39-5160,A,Yangon,Member,Female,Home and lifestyle,34.42,6,15:39,Cash,9.8
241-72-9525,B,Mandalay,Normal,Male,Sports and travel,51.91,10,12:21,Cash,8.2
575-30-8091,A,Yangon,Normal,Male,Sports and travel,72.5,8,19:25,Ewallet,9.2
731-81-9469,C,Naypyitaw,Member,Female,Sports and travel,89.8,10,13:00,Credit card,5.4
280-17-4359,C,Naypyitaw,Member,Male,Health and beauty,90.5,10,13:48,Cash,8.1
338-65-2210,C,Naypyitaw,Member,Female,Health and beauty,68.6,10,19:57,Cash,9.1
488-25-4221,C,Naypyitaw,Member,Female,Food and beverages,30.41,1,10:36,Credit card,8.4
239-10-7476,A,Yangon,Normal,Female,Home and lifestyle,77.95,6,16:37,Ewallet,8
458-41-1477,C,Naypyitaw,Normal,Female,Health and beauty,46.26,6,17:11,Credit card,9.5
685-64-1609,A,Yangon,Member,Female,Fashion accessories,30.14,10,12:28,Ewallet,9.2
568-90-5112,C,Naypyitaw,Normal,Male,Health and beauty,66.14,4,12:46,Credit card,5.6
262-47-2794,B,Mandalay,Member,Male,Home and lifestyle,71.86,8,15:07,Credit card,6.2
238-49-0436,A,Yangon,Normal,Male,Health and beauty,32.46,8,13:48,Credit card,4.9
608-96-3517,B,Mandalay,Member,Female,Fashion accessories,91.54,4,19:20,Credit card,4.8
584-86-7256,C,Naypyitaw,Member,Male,Sports and travel,34.56,7,16:07,Credit card,7.3
746-94-0204,A,Yangon,Normal,Male,Fashion accessories,83.24,9,11:56,Credit card,7.4
214-17-6927,C,Naypyitaw,Normal,Female,Food and beverages,16.48,6,18:23,Ewallet,9.9
400-89-4171,C,Naypyitaw,Normal,Female,Sports and travel,80.97,8,13:05,Cash,9.3
782-95-9291,A,Yangon,Member,Male,Food and beverages,92.29,5,15:55,Credit card,9
279-74-2924,B,Mandalay,Member,Male,Electronic accessories,72.17,1,19:40,Cash,6.1
307-85-2293,B,Mandalay,Normal,Male,Home and lifestyle,50.28,5,13:58,Ewallet,9.7
743-04-1105,B,Mandalay,Member,Male,Health and beauty,97.22,9,14:43,Ewallet,6
423-57-2993,B,Mandalay,Normal,Male,Sports and travel,93.39,6,19:18,Ewallet,10
894-41-5205,C,Naypyitaw,Normal,Female,Food and beverages,43.18,8,19:39,Credit card,8.3
275-28-0149,A,Yangon,Normal,Male,Sports and travel,63.69,1,16:21,Cash,6
101-17-6199,A,Yangon,Normal,Male,Food and beverages,45.79,7,19:44,Credit card,7
423-80-0988,C,Naypyitaw,Normal,Male,Sports and travel,76.4,2,19:42,Ewallet,6.5
548-46-9322,B,Mandalay,Normal,Male,Food and beverages,39.9,10,15:24,Credit card,5.9
505-02-0892,B,Mandalay,Member,Male,Health and beauty,42.57,8,14:12,Ewallet,5.6
234-65-2137,C,Naypyitaw,Normal,Male,Home and lifestyle,95.58,10,13:32,Cash,4.8
687-47-8271,A,Yangon,Normal,Male,Fashion accessories,98.98,10,16:20,Credit card,8.7
796-32-9050,A,Yangon,Normal,Male,Food and beverages,51.28,6,16:31,Cash,6.5
105-31-1824,A,Yangon,Member,Male,Sports and travel,69.52,7,15:10,Credit card,8.5
249-42-3782,A,Yangon,Normal,Male,Health and beauty,70.01,5,11:36,Ewallet,5.5
316-55-4634,B,Mandalay,Member,Male,Food and beverages,80.05,5,12:45,Credit card,9.4
733-33-4967,C,Naypyitaw,Normal,Male,Electronic accessories,20.85,8,19:17,Cash,6.3
608-27-6295,B,Mandalay,Member,Male,Electronic accessories,52.89,6,17:34,Credit card,9.8
414-12-7047,B,Mandalay,Normal,Male,Food and beverages,19.79,8,12:04,Ewallet,8.7
827-26-2100,A,Yangon,Member,Male,Home and lifestyle,33.84,9,16:21,Ewallet,8.8
175-54-2529,A,Yangon,Member,Male,Food and beverages,22.17,8,17:01,Credit card,9.6
139-52-2867,C,Naypyitaw,Normal,Female,Fashion accessories,22.51,7,10:50,Credit card,4.8
407-63-8975,A,Yangon,Normal,Male,Food and beverages,73.88,6,19:16,Ewallet,4.4
342-65-4817,C,Naypyitaw,Member,Male,Health and beauty,86.8,3,16:47,Ewallet,9.9
130-98-8941,C,Naypyitaw,Normal,Male,Fashion accessories,64.26,7,10:00,Cash,5.7
434-83-9547,C,Naypyitaw,Member,Male,Food and beverages,38.47,8,11:51,Cash,7.7
851-28-6367,A,Yangon,Member,Male,Sports and travel,15.5,10,10:55,Ewallet,8
824-88-3614,C,Naypyitaw,Normal,Male,Health and beauty,34.31,8,15:00,Ewallet,5.7
586-25-0848,A,Yangon,Normal,Female,Sports and travel,12.34,7,11:19,Credit card,6.7
895-66-0685,B,Mandalay,Member,Male,Food and beverages,18.08,3,19:46,Ewallet,8
305-14-0245,B,Mandalay,Member,Female,Home and lifestyle,94.49,8,19:00,Ewallet,7.5
732-04-5373,B,Mandalay,Member,Male,Home and lifestyle,46.47,4,10:53,Cash,7
400-60-7251,A,Yangon,Normal,Male,Home and lifestyle,74.07,1,12:50,Ewallet,9.9
593-65-1552,C,Naypyitaw,Normal,Female,Home and lifestyle,69.81,4,20:50,Credit card,5.9
284-34-9626,B,Mandalay,Normal,Female,Home and lifestyle,77.04,3,10:39,Credit card,7.2
437-58-8131,B,Mandalay,Normal,Female,Fashion accessories,73.52,2,13:41,Ewallet,4.6
286-43-6208,C,Naypyitaw,Normal,Female,Food and beverages,87.8,9,19:08,Cash,9.2
641-43-2399,B,Mandalay,Normal,Male,Home and lifestyle,25.55,4,20:23,Ewallet,5.7
831-07-6050,A,Yangon,Normal,Male,Electronic accessories,32.71,5,11:30,Credit card,9.9
556-86-3144,C,Naypyitaw,Member,Female,Fashion accessories,74.29,1,19:30,Cash,5
848-24-9445,C,Naypyitaw,Member,Male,Health and beauty,43.7,2,18:03,Cash,4.9
856-22-8149,A,Yangon,Normal,Female,Home and lifestyle,25.29,1,10:13,Ewallet,6.1
699-01-4164,C,Naypyitaw,Normal,Male,Health and beauty,41.5,4,19:58,Credit card,8.2
420-11-4919,C,Naypyitaw,Member,Female,Food and beverages,71.39,5,19:57,Credit card,5.5
606-80-4905,C,Naypyitaw,Member,Female,Sports and travel,19.15,6,10:01,Credit card,6.8
542-41-0513,B,Mandalay,Member,Female,Electronic accessories,57.49,4,11:57,Cash,6.6
426-39-2418,C,Naypyitaw,Normal,Male,Electronic accessories,61.41,7,10:02,Cash,9.8
875-46-5808,B,Mandalay,Member,Male,Health and beauty,25.9,10,14:51,Ewallet,8.7
394-43-4238,B,Mandalay,Member,Male,Home and lifestyle,17.77,5,12:42,Credit card,5.4
749-24-1565,A,Yangon,Normal,Female,Health and beauty,23.03,9,12:02,Ewallet,7.9
672-51-8681,C,Naypyitaw,Member,Female,Electronic accessories,66.65,9,18:19,Credit card,9.7
263-87-5680,C,Naypyitaw,Member,Female,Home and lifestyle,28.53,10,17:38,Ewallet,7.8
573-58-9734,B,Mandalay,Normal,Female,Fashion accessories,30.37,3,13:41,Ewallet,5.1
817-69-8206,B,Mandalay,Normal,Female,Electronic accessories,99.73,9,19:42,Credit card,6.5
888-02-0338,A,Yangon,Normal,Male,Electronic accessories,26.23,9,20:24,Ewallet,5.9
677-11-0152,C,Naypyitaw,Normal,Female,Food and beverages,93.26,9,18:08,Cash,8.8
142-63-6033,B,Mandalay,Normal,Male,Home and lifestyle,92.36,5,19:17,Ewallet,4.9
656-16-1063,B,Mandalay,Normal,Male,Sports and travel,46.42,3,13:24,Credit card,4.4
891-58-8335,B,Mandalay,Member,Female,Sports and travel,29.61,7,15:53,Cash,6.5
802-43-8934,A,Yangon,Normal,Male,Home and lifestyle,18.28,1,15:05,Credit card,8.3
560-30-5617,B,Mandalay,Normal,Female,Sports and travel,24.77,5,18:27,Cash,8.5
319-74-2561,A,Yangon,Member,Female,Electronic accessories,94.64,3,16:55,Cash,5.5
549-03-9315,B,Mandalay,Normal,Male,Fashion accessories,94.87,8,12:58,Ewallet,8.7
790-29-1172,B,Mandalay,Normal,Female,Food and beverages,57.34,3,18:59,Credit card,7.9
239-36-3640,B,Mandalay,Normal,Male,Electronic accessories,45.35,6,13:44,Ewallet,6.1
468-01-2051,B,Mandalay,Normal,Male,Food and beverages,62.08,7,13:46,Ewallet,5.4
389-25-3394,C,Naypyitaw,Normal,Male,Electronic accessories,11.81,5,18:06,Cash,9.4
279-62-1445,C,Naypyitaw,Member,Female,Fashion accessories,12.54,1,12:38,Cash,8.2
213-72-6612,A,Yangon,Normal,Male,Food and beverages,43.25,2,15:56,Cash,6.2
746-68-6593,C,Naypyitaw,Member,Female,Sports and travel,87.16,2,14:29,Credit card,9.7
836-82-5858,B,Mandalay,Member,Male,Health and beauty,69.37,9,19:14,Ewallet,4
583-72-1480,C,Naypyitaw,Member,Male,Electronic accessories,37.06,4,16:24,Ewallet,9.7
466-61-5506,B,Mandalay,Member,Female,Electronic accessories,90.7,6,10:52,Cash,5.3
721-86-6247,A,Yangon,Normal,Female,Home and lifestyle,63.42,8,12:55,Ewallet,7.4
289-65-5721,B,Mandalay,Normal,Female,Fashion accessories,81.37,2,19:28,Cash,6.5
545-46-3100,B,Mandalay,Member,Female,Electronic accessories,10.59,3,13:52,Credit card,8.7
418-02-5978,B,Mandalay,Normal,Female,Health and beauty,84.09,9,10:54,Cash,8
269-04-5750,B,Mandalay,Member,Male,Fashion accessories,73.82,4,18:31,Cash,6.7
157-13-5295,A,Yangon,Member,Male,Health and beauty,51.94,10,18:24,Ewallet,6.5
645-78-8093,A,Yangon,Normal,Female,Sports and travel,93.14,2,18:09,Ewallet,4.1
211-30-9270,C,Naypyitaw,Normal,Male,Health and beauty,17.41,5,15:16,Credit card,4.9
755-12-3214,C,Naypyitaw,Member,Female,Fashion accessories,44.22,5,17:07,Credit card,8.6
346-84-3103,B,Mandalay,Member,Female,Electronic accessories,13.22,5,19:26,Cash,4.3
478-06-7835,A,Yangon,Normal,Male,Fashion accessories,89.69,1,11:20,Ewallet,4.9
540-11-4336,A,Yangon,Normal,Male,Food and beverages,24.94,9,16:49,Credit card,5.6
448-81-5016,A,Yangon,Normal,Male,Health and beauty,59.77,2,12:01,Credit card,5.8
142-72-4741,C,Naypyitaw,Member,Male,Fashion accessories,93.2,2,18:37,Credit card,6
217-58-1179,A,Yangon,Member,Male,Home and lifestyle,62.65,4,11:25,Cash,4.2
376-02-8238,B,Mandalay,Normal,Male,Home and lifestyle,93.87,8,18:42,Credit card,8.3
530-90-9855,A,Yangon,Member,Male,Home and lifestyle,47.59,8,14:47,Cash,5.7
866-05-7563,B,Mandalay,Member,Female,Electronic accessories,81.4,3,19:43,Cash,4.8
604-70-6476,A,Yangon,Member,Male,Fashion accessories,17.94,5,14:04,Ewallet,6.8
799-71-1548,A,Yangon,Member,Male,Electronic accessories,77.72,4,16:11,Credit card,8.8
785-13-7708,B,Mandalay,Normal,Male,Food and beverages,73.06,7,19:06,Credit card,4.2
845-51-0542,B,Mandalay,Member,Male,Food and beverages,46.55,9,15:34,Ewallet,6.4
662-47-5456,C,Naypyitaw,Member,Male,Fashion accessories,35.19,10,19:06,Credit card,8.4
883-17-4236,C,Naypyitaw,Normal,Female,Sports and travel,14.39,2,19:44,Credit card,7.2
290-68-2984,A,Yangon,Normal,Male,Home and lifestyle,23.75,4,11:22,Cash,5.2
704-11-6354,A,Yangon,Member,Male,Home and lifestyle,58.9,8,11:23,Cash,8.9
110-48-7033,B,Mandalay,Member,Male,Fashion accessories,32.62,4,14:12,Cash,9
366-93-0948,A,Yangon,Member,Male,Electronic accessories,66.35,1,10:46,Credit card,9.7
729-09-9681,A,Yangon,Member,Male,Home and lifestyle,25.91,6,10:16,Ewallet,8.7
151-16-1484,A,Yangon,Member,Male,Electronic accessories,32.25,4,12:38,Ewallet,6.5
380-94-4661,C,Naypyitaw,Member,Male,Electronic accessories,65.94,4,13:05,Credit card,6.9
850-41-9669,A,Yangon,Normal,Female,Electronic accessories,75.06,9,13:25,Ewallet,6.2
821-07-3596,C,Naypyitaw,Normal,Female,Fashion accessories,16.45,4,14:53,Ewallet,5.6
655-85-5130,B,Mandalay,Member,Female,Fashion accessories,38.3,4,19:22,Cash,5.7
447-15-7839,A,Yangon,Member,Female,Sports and travel,22.24,10,11:00,Cash,4.2
154-74-7179,B,Mandalay,Normal,Male,Sports and travel,54.45,1,19:24,Ewallet,7.9
253-12-6086,A,Yangon,Member,Female,Sports and travel,98.4,7,12:43,Credit card,8.7
808-65-0703,C,Naypyitaw,Normal,Male,Home and lifestyle,35.47,4,17:22,Credit card,6.9
571-94-0759,B,Mandalay,Member,Female,Food and beverages,74.6,10,20:55,Cash,9.5
144-51-6085,A,Yangon,Member,Male,Home and lifestyle,70.74,4,16:05,Credit card,4.4
731-14-2199,A,Yangon,Member,Female,Home and lifestyle,35.54,10,13:34,Ewallet,7
783-09-1637,B,Mandalay,Normal,Female,Sports and travel,67.43,5,18:13,Ewallet,6.3
687-15-1097,C,Naypyitaw,Member,Female,Health and beauty,21.12,2,19:17,Cash,9.7
126-54-1082,A,Yangon,Member,Female,Home and lifestyle,21.54,9,11:44,Credit card,8.8
633-91-1052,A,Yangon,Normal,Female,Home and lifestyle,12.03,2,15:51,Cash,5.1
477-24-6490,B,Mandalay,Normal,Female,Health and beauty,99.71,6,16:52,Ewallet,7.9
566-19-5475,B,Mandalay,Normal,Male,Fashion accessories,47.97,7,20:52,Cash,6.2
526-86-8552,C,Naypyitaw,Member,Female,Home and lifestyle,21.82,10,17:36,Cash,7.1
376-56-3573,C,Naypyitaw,Normal,Female,Fashion accessories,95.42,4,13:23,Ewallet,6.4
537-72-0426,C,Naypyitaw,Member,Male,Fashion accessories,70.99,10,16:28,Cash,5.7
828-61-5674,A,Yangon,Member,Male,Sports and travel,44.02,10,19:57,Credit card,9.6
136-08-6195,A,Yangon,Normal,Female,Home and lifestyle,69.96,8,17:01,Credit card,6.4
523-38-0215,C,Naypyitaw,Normal,Male,Home and lifestyle,37,1,13:29,Credit card,7.9
490-29-1201,A,Yangon,Normal,Female,Sports and travel,15.34,1,11:09,Cash,6.5
667-92-0055,A,Yangon,Member,Male,Health and beauty,99.83,6,15:02,Ewallet,8.5
565-17-3836,A,Yangon,Member,Female,Health and beauty,47.67,4,14:21,Cash,9.1
498-41-1961,B,Mandalay,Normal,Male,Health and beauty,66.68,5,18:01,Cash,7.6
593-95-4461,C,Naypyitaw,Member,Male,Home and lifestyle,74.86,1,14:49,Cash,6.9
